geo_id,area_name,year,total_population,pop_25_plus,pop_25_less_9th,pop_25_hs_grad,pop_25_bach_plus,pop_25_34,pop_25_34_bach_plus,pop_45_64_bach_plus
0500000US36063,"Niagara County, New York",2012,20272,149323,2.7,36.2,8.8,92.1,26936,26.2
0500000US36065,"Oneida County, New York",2012,23492,159774,5.2,32.5,8.8,87.7,29128,23.1
0500000US36067,"Onondaga County, New York",2012,51763,307743,3.1,26.8,14.3,90.9,57475,35.3
0500000US36069,"Ontario County, New York",2012,9864,73790,2.6,28.0,13.4,91.8,13659,42.0
0500000US36071,"Orange County, New York",2012,36889,235119,4.7,29.0,12.0,84.5,52253,33.2
0500000US36073,"Orleans County, New York",2012,4072,29435,4.2,41.0,5.7,87.1,5732,15.9
0500000US36075,"Oswego County, New York",2012,15084,78839,3.5,41.8,6.5,89.4,15511,16.1
0500000US36077,"Otsego County, New York",2012,10409,40243,3.5,33.7,11.5,90.4,6748,25.4
0500000US36079,"Putnam County, New York",2012,7484,68798,2.8,26.6,17.4,93.2,14720,45.1
0500000US36081,"Queens County, New York",2012,214975,1557698,10.6,27.3,10.5,87.0,327341,33.1
0500000US36083,"Rensselaer County, New York",2012,18497,107085,3.3,30.6,12.4,91.3,20349,30.5
0500000US36085,"Richmond County, New York",2012,44068,315861,5.0,32.7,11.5,91.8,65643,33.1
0500000US36087,"Rockland County, New York",2012,27880,196957,5.5,23.5,17.8,85.2,38580,45.2
0500000US36089,"St. Lawrence County, New York",2012,17483,71005,4.6,37.2,10.1,88.0,13196,22.2
0500000US36091,"Saratoga County, New York",2012,17788,152586,1.9,26.9,15.5,95.0,32064,42.6
0500000US36093,"Schenectady County, New York",2012,14485,104755,3.4,31.3,13.0,92.1,19895,31.6
0500000US36095,"Schoharie County, New York",2012,3842,22268,3.5,38.3,8.9,93.5,3913,19.9
0500000US36097,"Schuyler County, New York",2012,1471,13130,3.3,37.9,7.8,94.0,2345,18.9
0500000US36099,"Seneca County, New York",2012,3224,24581,5.0,35.0,7.2,77.0,4345,21.7
0500000US36101,"Steuben County, New York",2012,7749,68078,4.3,36.0,9.4,90.9,12263,23.1
0500000US36103,"Suffolk County, New York",2012,130657,1006220,4.5,30.0,14.6,89.3,213267,36.1
0500000US36105,"Sullivan County, New York",2012,6480,53564,5.6,33.4,8.9,81.5,10131,21.3
0500000US36107,"Tioga County, New York",2012,3807,35392,1.8,38.0,10.4,92.3,6217,24.8
0500000US36109,"Tompkins County, New York",2012,27301,57768,1.6,20.1,29.0,94.6,10438,49.3
0500000US36111,"Ulster County, New York",2012,18362,127553,3.7,29.1,13.9,89.6,24312,31.5
0500000US36113,"Warren County, New York",2012,5142,47086,2.5,33.4,11.7,89.0,8179,29.7
0500000US36115,"Washington County, New York",2012,5345,44614,4.5,43.7,7.0,85.5,8788,15.4
0500000US36117,"Wayne County, New York",2012,7117,64230,3.6,35.9,7.8,87.9,12588,20.9
0500000US36119,"Westchester County, New York",2012,77998,645116,6.9,22.0,22.1,85.9,133433,49.8
0500000US36121,"Wyoming County, New York",2012,3412,30043,3.4,40.4,5.4,87.1,6008,14.3
0500000US36123,"Yates County, New York",2012,2757,16437,7.3,37.2,11.2,78.6,2580,17.1
Geography,Geographic Area Name,2010,Total!!Estimate!!Population 18 to 24 years,Total!!Estimate!!Population 25 years and over,Total!!Estimate!!Less than 9th grade,Total!!Estimate!!High school graduate (includes equivalency),Total!!Estimate!!Graduate or professional degree,Total!!Estimate!!High school graduate or higher,Total!!Estimate!!Population 35 to 44 years,Total!!Estimate!!Bachelor's degree or higher
0400000US36,New York,2010,1931719,12914436,7.0,28.2,13.8,88.0,2728154,35.0
0500000US36001,"Albany County, New York",2010,40883,201036,3.1,26.9,17.8,93.2,39468,41.4
0500000US36003,"Allegany County, New York",2010,7642,30577,3.7,40.1,9.6,91.1,5534,21.0
0500000US36005,"Bronx County, New York",2010,153214,840009,15.3,28.3,6.5,76.0,191951,18.8
0500000US36007,"Broome County, New York",2010,25372,133739,3.4,33.2,11.4,91.7,24176,28.1
0500000US36009,"Cattaraugus County, New York",2010,7967,53557,4.4,41.4,8.4,91.9,10085,20.6
0500000US36011,"Cayuga County, New York",2010,7220,55354,3.6,36.5,7.2,84.3,11355,18.6
